date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,total_injection
2020-06-12,356352,9768.639648,9413.620117,9715.870117,9588.80957,42,0.048954733641413915,22626
2020-06-15,308447,9756.070313,9403.0,9426.900391,9726.019531,42,0.039238960014966066,62878
2020-06-16,,9963.629883,9748.379883,9949.780273,9895.870117,44,0.05503936042462431,238445
2020-06-17,356670,9991.209961,9891.80957,9943.30957,9910.530273,43,0.05653374795390552,40208
2020-06-18,329711,9959.200195,9885.660156,9892.480469,9943.049805,42,0.04016660125089476,196325
2020-06-19,508849,10053.910156,9872.94043,10042.129883,9946.120117,41,0.04257491743905622,20031
2020-06-22,336426,10059.610352,9916.599609,9945.490234,10056.480469,42,0.04951787636164693,30615
2020-06-23,449205,10221.849609,10112.44043,10130.830078,10131.370117,42,0.03475756702020305,218537
2020-06-24,436906,10137.5,9842.219727,10092.919922,9909.169922,42,0.023804759818087242,41204
2020-06-25,463608,10023.280273,9810.469727,9899.360352,10017.0,42,0.0404877763194804,172203
2020-06-26,,10000.669922,9749.070313,9995.120117,9757.219727,43,0.044650399623600505,23678
2020-06-29,396781,9877.339844,9663.610352,9771.719727,9874.150391,42,0.048722989754359805,24815
2020-06-30,481644,10085.589844,9863.669922,9875.290039,10058.769531,41,0.03988411712315999,296667
2020-07-01,,10197.19043,10048.040039,10063.669922,10154.629883,40,0.04883016562578526,97324
2020-07-02,547579,10310.360352,10194.05957,10268.669922,10207.629883,41,0.05156001649720982,198972
2020-07-06,,10462.049805,10354.980469,10360.379883,10433.650391,42,0.020581081846735405,20107
2020-07-07,554183,10518.980469,10337.980469,10412.459961,10343.889648,42,0.040447018207021415,181414
2020-07-08,564243,10494.629883,10350.959961,10409.349609,10492.5,41,0.040851038135159015,38896
2020-07-09,585774,10578.099609,10379.910156,10563.719727,10547.75,40,0.03866537238211226,181296
2020-07-10,634979,10622.349609,10447.009766,10545.910156,10617.44043,40,0.0443976763138809,20928
2020-07-13,517995,10824.780273,10368.040039,10729.919922,10390.839844,43,0.06348217265119824,26450
2020-07-14,635788,10497.830078,10182.459961,10310.25,10488.580078,42,0.06272078936778046,215286
2020-07-15,657707,10604.669922,10420.540039,10576.719727,10550.490234,40,0.043644610461084886,114817
2020-07-16,,10499.790039,10364.389648,10443.870117,10473.830078,40,0.029014406890544762,208865
2020-07-17,651249,10532.620117,10421.209961,10500.519531,10503.19043,39,0.043425489547287935,22806
2020-07-20,554223,10783.799805,10488.040039,10526.019531,10767.089844,38,0.04963374187346912,23470
2020-07-21,,10839.929688,10650.459961,10837.879883,10680.360352,37,0.05468925925978053,198219
2020-07-22,807845,10745.320313,10627.450195,10687.580078,10706.129883,37,0.05331341039046497,47103
2020-07-23,760487,10728.120117,10407.870117,10689.5,10461.419922,36,0.03761223011789568,179307
2020-07-24,780217,10418.75,10217.30957,10294.410156,10363.179688,36,0.048603126247121424,19307
2020-07-27,614922,10546.44043,10399.860352,10421.700195,10536.269531,98,0.05112088232694035,22780
2020-07-28,675195,10523.639648,10397.870117,10509.200195,10402.089844,94,0.04691513088254143,177545
2020-07-29,811497,10567.910156,10464.0,10474.700195,10542.94043,95,0.0622567260761613,22237
2020-07-30,790611,10609.589844,10412.089844,10450.120117,10587.80957,96,0.05796682223123916,212454
2020-07-31,,10747.799805,10557.700195,10741.469727,10745.269531,95,0.05190740725872602,238707
