date,sentiment
2020-09-11,0.05201577539762089
2020-09-12,0.042118613967884355
2020-09-13,0.03116457796307351
2020-09-14,0.04031093678101012
2020-09-15,0.05806730893000717
2020-09-16,0.04995258458181624
2020-09-17,0.041543900252793656
2020-09-18,0.05719355472572982
2020-09-19,0.04786267752169622
2020-09-20,0.06182949953286954
2020-09-21,0.05779376532247557
2020-09-22,0.054040516737716905
2020-09-23,0.06559960073050004
2020-09-24,0.04811878212496126
2020-09-25,0.05078579717554164
2020-09-26,0.05608404809257367
2020-09-27,0.052378243796711445
2020-09-28,0.028204326199260433
2020-09-29,0.04219501284206595
2020-09-30,0.04960775410806492
2020-10-01,0.04988695747485228
2020-10-02,0.07136763758899568
2020-10-03,0.0573020292273116
2020-10-04,0.04856217108351836
2020-10-05,0.03569629300410179
