date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,changed
2020-09-16,806741,11245.41992,11046.42969,11222.08008,11050.46973,67,0.04995258458,-0.008114724348
2020-09-17,851897,10974.4502,10783.80957,10796.04981,10910.28027,68,0.04154390025,-0.008408684329
2020-09-18,865109,10977.67969,10639.9502,10973.4502,10793.28027,69,0.05719355473,0.01564965447
2020-09-21,691538,10782.74023,10519.49023,10610.13965,10778.79981,71,0.05779376532,0.0006002105967
2020-09-22,819824,10979.65039,10737.51953,10873.29981,10963.63965,68,0.05404051674,-0.003753248585
2020-09-23,821311,10962.03027,10612.91016,10950.82031,10632.99023,67,0.06559960073,0.01155908399
2020-09-24,,10799.54981,10520.21973,10551.01953,10672.26953,67,0.04811878212,-0.01748081861
2020-09-25,853281,10939.54981,10639.98047,10680.45996,10913.55957,66,0.05078579718,0.002667015051
2020-09-28,653080,11120.79004,11019.13965,11084.37988,11117.53027,67,0.0282043262,-0.02258147098
2020-09-29,,11153.23047,11065.62988,11109,11085.25,66,0.04219501284,0.01399068664
2020-09-30,888596,11277.95996,11092.90039,11092.90039,11167.50977,62,0.04960775411,0.007412741266
2020-10-01,869190,11344.12988,11240.53027,11291.99023,11326.50977,61,0.04988695747,0.0002792033668
2020-10-02,884161,11244.87012,11033.69043,11082.53027,11075.01953,78,0.07136763759,0.02148068011
2020-10-05,784030,11335.20996,11162.51953,11169.11035,11332.49023,69,0.035696293,-0.03567134458
2020-10-06,907485,11392.41016,11124.4502,11314.53027,11154.59961,67,0.04194538342,0.006249090413
2020-10-07,937030,11380.55957,11258.34961,11271.67969,11364.59961,69,0.04391770275,0.001972319333
2020-10-08,941125,11448.23047,11384.33008,11443.34961,11420.98047,77,0.05335194447,0.009434241718
2020-10-09,,11581.23047,11476.66016,11487.59961,11579.94043,77,0.04593949376,-0.007412450705
2020-10-12,791218,11965.54004,11704.12988,11732.33008,11876.25977,80,0.04695304946,0.001013555702
2020-10-13,915890,11946.98047,11821.83008,11901.75977,11863.90039,78,0.06279607478,0.01584302532
2020-10-14,,11939.91992,11714.34961,11889.07031,11768.73047,83,0.04900507936,-0.01379099542
2020-10-15,1042719,11740.67969,11559.09961,11559.87988,11713.87012,91,0.04735708164,-0.00164799772
2020-10-16,1093289,11827.41992,11648.53027,11761.83008,11671.55957,88,0.04798991154,0.0006328298975
2020-10-19,,11778.11035,11454.57031,11732.33984,11478.87988,87,0.05536850295,0.007378591411
2020-10-20,1098945,11632.88965,11471.23047,11531.83008,11516.49023,84,0.05257155813,-0.002796944821
2020-10-21,1172608,11613.79004,11476.08008,11530.38965,11484.69043,86,0.05574120795,0.003169649828
2020-10-22,1203185,11548.76953,11369.29004,11526.96973,11506.00977,93,0.06164594026,0.005904732301
